linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Jazep_Pusca/Vystryhali_z_fotakartak.epub,,,«Выстрыгалі з фотакартак...»,/Jazep_Pusca/Vystryhali_z_fotakartak.html
2,epub,/Jazep_Pusca/Viasnovaje.epub,,,Вясновае,/Jazep_Pusca/Viasnovaje.html
3,epub,"/Jazep_Pusca/Za_usio,_za_usio_vam_dziakuj.epub",,,"За ўсё, за ўсё вам дзякуй","/Jazep_Pusca/Za_usio,_za_usio_vam_dziakuj.html"
4,epub,/Jazep_Pusca/Krytyku.epub,,,Крытыку,/Jazep_Pusca/Krytyku.html
5,epub,/Jazep_Pusca/Listy_da_sabaki.epub,,,Лісты да сабакі,/Jazep_Pusca/Listy_da_sabaki.html
6,epub,/Jazep_Pusca/Ranicu_scebiet_pilnuje.epub,,,Раніцу шчэбет пільнуе,/Jazep_Pusca/Ranicu_scebiet_pilnuje.html
7,epub,/Jazep_Pusca/Bor_sumic.epub,,,Бор шуміць,/Jazep_Pusca/Bor_sumic.html
8,epub,/Jazep_Pusca/Viersy.epub,,,Вершы,/Jazep_Pusca/Viersy.html
9,epub,/Jazep_Pusca/Ludvisia.epub,,,Людвіся,/Jazep_Pusca/Ludvisia.html
10,epub,/Jazep_Pusca/Na_Babrycy.epub,,,На Бабрыцы,/Jazep_Pusca/Na_Babrycy.html
11,djvu,https://files.knihi.com/Knihi/scanned-n/Jazep_Pusca.Zbor_tvorau_2_2.djvu,,,"Збор твораў, т. 2","/Jazep_Pusca/Zbor_tvorau,_t_2.html"
